2,581.3467,1009.344,o,430.5117,822.4182
3,570.4562,1106.87,a,658.8224,1229.994
4,622.9647,1007.745,o,368.1276,751.8243
5,532.0275,878.4788,o,753.9788,2233.197
6,336.5152,773.917,o,467.8843,887.5219
7,917.4399,2440.81,e,250.5323,545.1891
20,387.6738,1378.896,a,619.7166,1291.151
21,413.0355,1307.062,a,559.9536,1287.987
22,431.5478,1215.308,a,634.7251,1250.639
23,419.2646,1082.51,o,425.133,2114.801
24,403.7481,1044.424,o,429.3569,2133.736
25,395.9937,1065.617,o,426.8773,2076.103
26,369.4797,1073.442,o,460.4037,1634.294
27,385.251,1038.669,o,446.5223,2512.704
28,362.1364,1081.929,o,442.3689,2209.241
29,299.1898,2367.639,e,394.8989,2167.593
